Gene	unscaled_hpd_low	unscaled_hpd_high	unscaled_hpd_map	log10_ci_low	log10_ci_high	log10_map	2.5th	97.5th	mean	median
ZFP69	5.001e-07	0.0090480195	0.0004766854	-6.11682255	-2.23540125	-3.13937471	8.9450308769818e-07	0.0073646260715386	0.00343135974101898	9.46414751734245e-05
ZNF648	5.002e-07	0.011814815	0.0005555351	-6.1203472	-2.02444318	-2.82332737	8.82185982120157e-07	0.0119510668387653	0.00390811184873536	0.000114410355727081
ASAH2	5.014e-07	0.0067534994	0.0003182895	-6.12638828	-2.49671483	-4.87323054	8.70559580332601e-07	0.00401074353146604	0.00235878432849227	5.22909883360805e-05
SERPINA12	5.004e-07	0.0076249139	0.0003181843	-6.16968272	-2.58915205	-4.39239888	8.02919261655742e-07	0.00338057207652743	0.00304368876747226	4.85693634296656e-05
PRSS57	5.009e-07	0.0073855566	0.0003975469	-6.11259228	-2.42381747	-3.36784174	8.70554399322329e-07	0.00441249842514158	0.00278168228188886	8.00391769422633e-05
ZNF738	5.002e-07	0.011280593	0.0004771238	-6.11323957	-2.02858197	-2.93615253	9.04117836546402e-07	0.0116620983512809	0.00338715337928486	0.000112839940510464
SP100	5.001e-07	0.007865732	0.0004771808	-6.0720093	-2.24572781	-3.40588658	9.5046077989319e-07	0.00659342791448392	0.0027033375710377	0.000130817723406627
TTN	0.0140328831	0.0240632552	0.0168503273	-1.84515092	-1.61304325	-1.77033089	0.0143410307640221	0.0243782930962598	0.0188862664328327	0.0186514480736005
WNT10A	5.005e-07	0.0095342253	0.0004771868	-6.11528932	-2.15354791	-3.27704443	8.93483344408231e-07	0.00876689129330803	0.00330735259315818	0.000118813691347492
ZRANB3	5.002e-07	0.0084204789	0.0005565365	-5.89251842	-2.03094858	-2.92434967	1.21255497641007e-06	0.00872368252642446	0.0024179689971862	0.000243368555547184
SDCBP2	5.003e-07	0.0077841412	0.0003182	-6.1780117	-2.50065294	-4.71580133	8.01594483866885e-07	0.00427063853257029	0.00306255792417224	3.78033197198056e-05
CRYBA4	5.008e-07	0.0057119362	0.0002384772	-6.14815309	-2.76636163	-4.07494737	8.93840691943474e-07	0.00250990372593747	0.00181383079257704	4.32257676401637e-05
KIAA0930	5.001e-07	0.0069074883	0.0002386721	-6.17231183	-2.70383206	-4.75966457	8.15725279872683e-07	0.00273132572251561	0.00251777913702501	3.64478648160711e-05
P2RX6	5.002e-07	0.0066687117	0.0001592671	-6.2052845	-2.86432558	-4.12470853	8.02983818891221e-07	0.00216353139337133	0.00238116359728455	3.26581031653608e-05
WDR5B	5.001e-07	0.0080938981	0.0003972353	-6.08143959	-2.23193123	-3.15713496	9.6921069363748e-07	0.00717444798340493	0.00267268811159107	0.000101084349701943
ZNF354C	5.004e-07	0.0097556877	0.0004763632	-6.02336528	-2.03610311	-3.53117892	1.00258024420357e-06	0.00983283943166033	0.00298676124570068	0.000161013048850348
ULBP1	5.001e-07	0.0110422824	0.0006359984	-6.14631346	-2.13598833	-2.93734524	8.3082645875384e-07	0.00953327082015079	0.00446249934542301	0.000134084993123509
CARD9	5.002e-07	0.0061938794	0.0002387071	-6.12380368	-2.61641438	-3.93463573	8.97057583758122e-07	0.00306836804698771	0.00207868125638018	5.5156584391076e-05
WDR31	5.003e-07	0.00992472	0.0005562566	-6.13200534	-2.1573524	-2.99759969	8.70401955204086e-07	0.00910559510732303	0.00355600967757412	0.000123353936009759
A1CF	5.023e-07	0.0208721242	0.0003212517	-4.8549766	-1.4160612	-1.94951489	3.45506682568579e-06	0.0233347547145514	0.00824002836068928	0.00721919774168896
A2M	5.008e-07	0.0197995372	0.0036720254	-3.73590092	-1.45108342	-2.01536029	3.39643605864509e-05	0.0228108574776528	0.00804015489532212	0.00701909885847813
A3GALT2	5.002e-07	0.0096967884	0.0003962671	-6.0913364	-2.03735284	-3.13198741	9.21067253535346e-07	0.0105195006262753	0.00213359853078631	0.000102313829027282
A4GALT	5.082e-07	0.4151769396	0.0470204896	-2.89429941	-0.30106216	-0.78673203	4.75015700405511e-05	0.454385922391604	0.150705764058522	0.114887313833306
AACS	5.003e-07	0.0075265536	0.0003966083	-6.06180604	-2.1433038	-3.43570138	9.40504332424378e-07	0.00788600468997761	0.00186734517901166	0.000125822951769168
AADAC	5.003e-07	0.1144935806	0.0020003794	-5.39138838	-0.62540771	-1.50177192	1.97859136123349e-06	0.143634651380482	0.0309027081703531	0.0187463128886701
AADACL2	5.009e-07	0.0063579225	0.0003978398	-6.13792671	-2.32219918	-3.68264032	8.69636952242539e-07	0.00612051386553197	0.00160585314429371	7.11387700729355e-05
AADACL3	5.007e-07	0.1098700122	0.0009993144	-6.04835383	-0.87792183	-1.71815454	9.15251766358336e-07	0.142474040988939	0.0170404692293522	0.000899339097938239
AADACL4	5.035e-07	0.4148506412	0.0497625152	-2.64709939	-0.30114192	-0.75713365	7.83610801236217e-05	0.455127258077512	0.154096528818479	0.119328095711078
AADAT	5.216e-07	0.2033011043	0.0420109741	-1.83616626	-0.54949596	-1.25267624	0.0129409500674694	0.254731358305417	0.0791076898935644	0.0611435204474074
AAGAB	5.002e-07	0.0073668957	8.45914e-05	-6.06664824	-2.03366987	-2.95618348	8.15086736953997e-07	0.00888129204274394	0.00123572677239906	0.000156033330098988
AAK1	0.0905935336	0.488122401	0.2312538698	-0.99989123	-0.30104275	-0.401946	0.0834820213297281	0.484677224798041	0.278096133583824	0.27087174330751
AAMDC	5.002e-07	0.0088216092	7.82193e-05	-6.14760149	-2.0159923	-3.63383801	7.66230917136698e-07	0.0106952777028827	0.00133026874654734	0.000104455447847497
AAMP	0.0075016916	0.3537782418	0.0687563882	-1.50263578	-0.35209672	-0.95987534	0.0271168817636805	0.404951700971228	0.140669123862325	0.112158558742031
AANAT	5.008e-07	0.4139117643	0.0402661887	-3.19115794	-0.30107752	-0.79326152	2.76824612978639e-05	0.454044234373897	0.148064431925532	0.111817521631969
AAR2	5.002e-07	0.0053464975	5.67739e-05	-6.14402696	-2.2328886	-3.43046681	7.70554319632011e-07	0.00654153275148666	0.000825705456285519	8.36625284822173e-05
AARS	0.0054561287	0.0328313269	0.0176110018	-2.13312716	-1.4304697	-1.70930203	0.006441110161678	0.0340221584407854	0.0187983876814496	0.0182570463080951
AARSD1	5.003e-07	0.0073181119	0.0003960469	-6.10310226	-2.18208227	-3.14389756	8.96766521460869e-07	0.00762042666232169	0.00180187622003967	9.81918646263336e-05
AASDH	5.025e-07	0.031342997	0.0099190134	-3.37242899	-1.22477925	-1.83544339	4.61707728106742e-05	0.0360121589403539	0.0135009466176976	0.0120284884750106
AASDHPPT	5.075e-07	0.138065112	0.0037522631	-4.57054673	-0.46294881	-1.42538599	5.04343769112213e-06	0.176985063736299	0.04292230900944	0.0299397016483712
AASS	5.003e-07	0.0140564707	0.0005944145	-5.8699829	-1.71263546	-2.49158487	1.176895986516e-06	0.0161656288981814	0.00310969572350917	0.000541395723651761
AATK	0.0019477842	0.045135256	0.019334045	-2.25174511	-1.23683301	-1.6194603	0.00449982023836219	0.0499944081324972	0.0227843151243925	0.0213848065338972
ABAT	5.006e-07	0.0411693094	0.0157365122	-3.28458411	-1.09042454	-1.67977635	3.80606302749335e-05	0.0473019291627755	0.0185881151538016	0.0171243139569197
ABCA2	0.0364153221	0.1729170059	0.0787932958	-1.35712323	-0.72669631	-1.07111485	0.0454704560200857	0.193710411580167	0.0966947573228168	0.0890118763788299
ABCA3	0.0119396703	0.0500249588	0.0267477985	-1.84702737	-1.26397698	-1.53132246	0.0137737030249951	0.0527218396984419	0.0298559560169906	0.028693321179161
ABCA5	5.029e-07	0.0173371758	0.0005848851	-4.59284611	-1.4848791	-2.14771567	6.40516992907401e-06	0.0202275509178539	0.00580055871566234	0.00423154369282647
ABCB1	0.0143705501	0.0575375913	0.029999996	-1.77404809	-1.20504644	-1.47020543	0.0165974342107681	0.0611029906651042	0.0345114176604484	0.0329594862513796
ABCB11	0.0081373299	0.0458557975	0.022786696	-1.96381055	-1.28741007	-1.58856364	0.0100655233331926	0.0484723051532199	0.0259575805948917	0.0248344001447462
ABCB4	0.0157453482	0.0644010594	0.0334455498	-1.72906276	-1.15492389	-1.43020748	0.0185280193620649	0.0689737445252662	0.0381846315824407	0.0363371326771954
ABCB8	5.006e-07	0.0233868432	0.0005950686	-5.51562325	-1.3817299	-2.1016942	1.814319986608e-06	0.0278376956204233	0.00637082961317222	0.0033266848440851
ABCB9	5.008e-07	0.0416203339	0.0008252841	-4.0837816	-1.06708631	-1.68610353	1.06780751246581e-05	0.0481680677121563	0.0173875543816712	0.0156992779197557
ABCC1	0.0087456367	0.0375470049	0.020856185	-1.96954905	-1.38509557	-1.6397688	0.0100437028116716	0.0391043727475063	0.022762482582853	0.0221350939355091
ABCC4	0.0102421977	0.0497219004	0.0258605416	-1.88671624	-1.25697537	-1.54967183	0.0123350446533818	0.0528997524730404	0.0287357254540429	0.027476567914184
ABCC5	0.0233189921	0.0930399117	0.0463633433	-1.56573451	-0.99918846	-1.29300346	0.0275372865534589	0.100857972686618	0.0547114132346504	0.0514804694062023
ABCC8	5.027e-07	0.0086706474	0.0002141639	-5.33088993	-1.79709485	-2.50199275	1.95867756929452e-06	0.0102021220673969	0.0022032636682377	0.00100890108654147
ABCC9	0.000274304	0.0230268274	0.0103774101	-2.64656796	-1.50850319	-1.89625092	0.00136535120914534	0.0253815055409884	0.0116371604503903	0.0110864478770903
ABCD2	5.004e-07	0.02036772	0.0002790264	-5.58800808	-1.44300436	-2.01419668	1.37942993926989e-06	0.0229731879365562	0.00591222571734934	0.00351919914054994
