SYMBOL	chromosome	mu_lof	AF_nfe	AN_nfe	NFE_k
AARD	8	1.9170000000000003e-07	9.71491e-05	105900	10
ABRA	8	8.1065e-07	3.533731e-05	112554	3
AC012215.1	8	0.0	0.0	112918	0
AC023632.1	8	0.0	0.0	109826	0
AC037459.4	8	6.515e-07	4.764323e-05	104367	4
AC090186.1	8	0.0	0.0	107203	0
AC120194.1	8	1.3973e-08	0.0	107457	0
ADAM18	8	1.6158e-06	0.00255141444	108049	275
ADAM2	8	1.7002e-06	0.00801533295	108001	865
ADAM28	8	2.0415e-06	0.00041447847	110587	45
ADAM32	8	2.1174000000000003e-06	0.00045900241999999997	103740	47
ADAM7	8	2.1489e-06	0.00030676782000000003	109840	33
ADAM9	8	2.6164e-06	5.2818330000000004e-05	110066	5
ADAMDEC1	8	1.3756e-06	0.0001859826	110583	20
ADCK5	8	1.3074000000000002e-06	4.612012e-05	103390	4
ADCY8	8	2.9216e-06	0.00025635491000000003	109235	28
ADHFE1	8	1.1574e-06	0.00011548201999999999	109314	12
ADRA1A	8	6.127300000000001e-07	0.00022482392999999997	109785	24
ADRB3	8	4.2339e-07	0.0	94312	0
AGO2	8	2.2748e-06	0.0	109602	0
AGPAT5	8	1.0494e-06	0.00010662851999999999	107604	11
AGPAT6	8	1.3464e-06	1.75852e-05	108477	1
ANGPT1	8	1.2980000000000001e-06	2.9379829999999998e-05	109993	3
ANGPT2	8	1.269e-06	3.523627e-05	111541	3
ANK1	8	5.0465e-06	0.0006030767099999999	110647	66
ANKRD46	8	6.842799999999999e-07	8.79941e-06	109322	0
ANXA13	8	1.3116999999999999e-06	0.00033583426	112680	37
AP3M2	8	1.0226e-06	8.859133e-05	112057	9
ARC	8	8.315899999999999e-07	9.30891e-06	99251	0
ARFGEF1	8	5.299199999999999e-06	4.610814e-05	108617	5
ARHGAP39	8	2.1263e-06	0.00017541525	103210	18
ARHGEF10	8	3.6902e-06	0.00038808404	110593	42
ARMC1	8	7.9589e-07	0.0	109114	0
ASAH1	8	1.2865e-06	0.00016103629	107755	17
ASAP1	8	3.1798e-06	3.545823e-05	109214	3
ASH2L	8	1.9516e-06	4.29557e-05	105532	4
ASPH	8	2.5071e-06	0.00024866767000000003	108258	26
ATAD2	8	4.8154000000000005e-06	5.314064e-05	106409	5
ATP6V0D2	8	1.0092e-06	0.0002165394	109242	23
ATP6V1B2	8	2.0934e-06	2.6420409999999996e-05	107632	2
ATP6V1C1	8	9.978399999999998e-07	8.957255999999999e-05	109749	9
ATP6V1H	8	1.5909999999999999e-06	7.099850000000001e-05	109898	7
AZIN1	8	9.0709e-07	8.81632e-06	110041	0
BAALC	8	3.2832e-07	0.0	111689	0
BAG4	8	1.0682e-06	0.00013361351	109953	14
BAI1	8	3.1170999999999998e-06	2.782241e-05	101103	2
BHLHE22	8	2.2844e-07	0.0	95006	0
BIN3	8	8.840999999999999e-07	8.037879e-05	106045	8
BLK	8	1.4527e-06	0.00021250333	109496	23
BMP1	8	2.8719999999999998e-06	8.861746999999999e-05	109707	9
BNIP3L	8	4.3215e-07	0.0	106381	0
BOP1	8	2.0254e-07	0.0	108692	0
BRF2	8	1.8981e-06	0.0002731061	108470	29
C8orf12	8	1.1526e-07	0.0	112858	0
C8orf22	8	3.2417e-07	8.85959e-06	109452	0
C8orf31	8	4.239899999999999e-07	0.00012479425	110630	13
C8orf33	8	4.9661e-07	4.400777e-05	112352	4
C8orf34	8	1.3688e-06	0.0009765571000000001	109481	106
C8orf37	8	4.2177e-07	6.316795e-05	110523	6
C8orf4	8	3.0327e-07	8.87201e-06	110824	0
C8orf44	8	1.2158e-07	1.76028e-05	111243	1
C8orf44-SGK3	8	1.5244e-06	8.131818e-05	110563	8
C8orf46	8	4.7463e-07	9.38615e-06	102817	0
C8orf47	8	6.479800000000001e-07	1.7793529999999997e-05	112132	1
C8orf48	8	2.8309000000000003e-07	4.9461899999999995e-05	60867	3
C8orf49	8	0.0	0.0	113079	0
C8orf58	8	7.903399999999999e-07	7.171422e-05	106326	7
C8orf59	8	1.3870999999999998e-07	2.8671109999999998e-05	106280	3
C8orf74	8	3.7176000000000004e-07	0.00016480964	103226	17
C8orf76	8	9.5714e-07	0.00023441836	105506	24
C8orf82	8	2.0102e-07	0.0	104032	0
C8orf86	8	3.0691999999999995e-07	8.797292e-05	109775	9
C8orf88	8	2.2871e-07	0.0	64319	0
CA1	8	7.6068e-07	7.413985e-05	109596	8
CA13	8	8.1742e-07	5.321674e-05	112160	5
CA2	8	5.2563e-07	3.518912e-05	111649	3
CA3	8	8.311399999999999e-07	5.30405e-05	109213	5
CA8	8	1.0722e-06	4.40467e-05	110497	4
CALB1	8	9.54e-07	4.450153e-05	111951	4
CCAR2	8	2.5253e-06	3.53679e-05	107294	3
CCDC25	8	8.0732e-07	1.776282e-05	110340	1
CCNE2	8	1.0329999999999999e-06	1.12047e-05	109444	1
CDCA2	8	1.415e-06	0.00015325966	110212	16
CDH17	8	1.9744e-06	0.00023709863999999998	111142	26
CEBPD	8	1.2753e-07	0.0	100646	0
CHCHD7	8	2.6372e-07	2.6384720000000003e-05	111009	2
CHD7	8	8.030599999999999e-06	2.6815290000000003e-05	105917	2
CHMP4C	8	7.492799999999999e-07	6.620725e-05	107626	7
CHMP7	8	1.2565e-06	3.520605e-05	108173	3
CHRAC1	8	1.6662e-07	1.0275799999999999e-05	102561	1
CHRNA2	8	8.5117e-07	9.812915999999999e-05	109487	10
CHRNA6	8	9.064100000000001e-07	0.00032543062	112813	36
CHRNB3	8	9.7602e-07	0.00023830935	111595	26
CLDN23	8	3.6421e-07	0.00013121787	92837	12
CLN8	8	3.8964e-07	5.27673e-05	112812	5
CLU	8	1.0066e-06	4.403044e-05	111020	4
CLVS1	8	8.0857e-07	8.807310000000002e-06	109830	0
CNBD1	8	8.931200000000001e-07	0.00013978966	98903	13
CNGB3	8	2.4591e-06	0.00041658547	112670	46
CNOT7	8	9.6497e-07	0.0	103309	0
COL14A1	8	5.5374e-06	0.00029382217000000003	110356	32
COL22A1	8	5.8621e-06	0.00063830067	107815	68
COLEC10	8	5.821100000000001e-07	4.4114390000000005e-05	111231	4
COMMD5	8	4.5086999999999996e-07	6.306424e-05	110715	6
COPS5	8	1.1506999999999998e-06	0.0	107270	0
COX6C	8	2.2083000000000003e-07	8.91822e-06	110354	0
CPA6	8	1.8707e-06	0.00046680805999999996	110549	51
CPNE3	8	1.4362000000000001e-06	0.00017880330000000002	110503	19
CPQ	8	1.0871e-06	0.00042090225	108378	45
CPSF1	8	3.6452999999999996e-06	0.00021894474999999998	103765	22
CRH	8	1.7822e-07	0.0	99911	0
CRISPLD1	8	2.0202e-06	0.00011511694	109712	12
CSGALNACT1	8	1.2262e-06	7.924128e-05	110942	8
CSMD1	8	9.2213e-06	8.906324e-05	103992	9
CSMD3	8	1.0575999999999998e-05	0.00021158615000000001	112215	23
CSPP1	8	4.2978e-06	0.00062408903	108700	67
CTHRC1	8	4.8332e-07	8.79121e-06	110572	0
CTSB	8	8.161e-07	9.691431000000001e-05	109486	10
CYC1	8	7.9113e-07	8.80065e-06	110290	0
CYHR1	8	7.367699999999999e-07	1.77368e-05	102091	1
CYP11B1	8	1.1321e-06	7.109733e-05	110113	7
CYP11B2	8	1.2798e-06	0.00014213725	111080	15
CYP7A1	8	1.0003e-06	5.2747430000000005e-05	113066	5
CYP7B1	8	1.229e-06	0.00020347223	110889	22
DCAF13	8	2.2067e-06	0.00022169517999999996	108227	23
DCAF4L2	8	0.0	0.0	112122	0
DCSTAMP	8	8.5681e-07	6.157729e-05	111903	6
DCTN6	8	6.7383e-07	2.6521140000000002e-05	109638	2
DDHD2	8	2.3641999999999997e-06	0.00012402321000000002	109027	13
DECR1	8	7.7857e-07	0.00018487076	110211	20
DEFA3	8	4.1496e-08	0.0	98758	0
DEFA4	8	8.1799e-08	0.000145666	110700	16
DEFA5	8	1.0216000000000001e-07	3.516997e-05	110235	3
DEFA6	8	9.2072e-08	0.0020616296300000002	109980	226
DEFB1	8	4.7087000000000003e-08	0.0	112138	0
DEFB104A	8	4.4637000000000005e-08	1.00687e-05	95420	0
DEFB105A	8	3.6181e-08	0.00021915400000000002	102557	22
DEFB105B	8	4.523899999999999e-09	0.0	89506	0
DEFB106A	8	1.3899e-08	1.08951e-05	101906	1
DEFB106B	8	3.2364000000000004e-08	0.0	87800	0
DEFB134	8	4.6755000000000004e-08	1.75877e-05	112839	1
DEFB135	8	4.3887e-08	0.00010020238000000001	107474	10
DEFB136	8	4.3518e-08	0.0	104891	0
DEFB4A	8	2.5067e-08	3.528268e-05	111189	3
DEFB4B	8	1.8825e-08	0.0	66845	0
DENND3	8	2.8974e-06	0.00014141603000000002	109451	15
DEPTOR	8	9.6013e-07	7.085645e-05	110535	7
DERL1	8	1.1320000000000001e-06	3.537237e-05	111304	3
DGAT1	8	1.5856000000000001e-06	0.00032307805	105408	34
DKK4	8	4.8519e-07	4.501525e-05	110729	4
DLC1	8	3.7637e-06	8.845544e-05	111578	9
DLGAP2	8	1.9916e-06	1.808188e-05	101693	1
DMTN	8	1.2421e-06	1.826445e-05	107691	1
DNAJC5B	8	4.1391999999999994e-07	0.0005856758	111018	65
DOCK5	8	5.7377999999999995e-06	0.0002521358	106434	26
DOK2	8	8.2499e-07	0.00026801532000000005	102688	27
DPY19L4	8	2.5246e-06	0.0069618369499999996	107482	748
DPYS	8	1.4402000000000002e-06	0.00064302361	113304	72
DPYSL2	8	1.3883000000000001e-06	8.94678e-06	111330	0
DSCC1	8	9.2961e-07	1.79866e-05	108503	1
DUSP26	8	8.4241e-07	4.463066e-05	109980	4
DUSP4	8	4.8169e-07	1.08542e-05	101084	1
E2F5	8	5.516700000000001e-07	0.0	104433	0
EBAG9	8	5.3239e-07	9.167250000000001e-06	106887	0
EBF2	8	1.6244999999999999e-06	1.04925e-05	108091	1
EEF1D	8	1.3784e-06	7.224645999999999e-05	99498	7
EFCAB1	8	6.738800000000001e-07	4.427915e-05	108516	4
EFR3A	8	2.5502e-06	0.00018794061999999998	103969	19
EGR3	8	4.0847e-07	0.0	109398	0
EIF3E	8	1.0987e-06	1.97204e-05	105062	2
EIF3H	8	1.0311e-06	1.763839e-05	111539	1
EIF4EBP1	8	1.2182000000000001e-07	0.0	110886	0
ELP3	8	2.1288e-06	0.00020270758	111800	22
EMC2	8	1.0554999999999999e-06	0.0013536754199999998	105300	142
ENPP2	8	2.9399e-06	7.16714e-05	109779	7
ENTPD4	8	2.8744e-06	0.00038049974000000004	111802	42
ENY2	8	2.8361e-07	0.0	111016	0
EPHX2	8	1.5683e-06	0.00040588295	110946	45
EPPK1	8	2.8982e-06	0.0009310939699999999	106212	98
ERI1	8	7.6283e-07	0.00042285105000000004	106931	45
ERICH1	8	9.146700000000001e-07	9.781939e-05	110259	10
ERLIN2	8	7.657600000000001e-07	4.400115e-05	110605	4
ESCO2	8	1.4303e-06	4.414832e-05	111890	4
ESRP1	8	2.3159e-06	2.778598e-05	108007	3
EXOSC4	8	4.9135e-07	1.949584e-05	110112	2
EXT1	8	1.6112000000000001e-06	1.764721e-05	112638	1
EXTL3	8	1.7239e-06	8.80386e-05	113362	9
EYA1	8	1.8725e-06	3.522088e-05	111532	3
FABP12	8	2.1879000000000002e-07	1.13908e-05	102550	1
FABP4	8	2.1719999999999999e-07	0.0004497484099999999	111497	50
FABP5	8	3.6839e-07	3.642423e-05	102699	3
FABP9	8	2.3725e-07	8.959969000000001e-05	108611	9
FAM110B	8	5.6214e-07	0.0	111746	0
FAM135B	8	3.4627999999999997e-06	4.419458e-05	111522	4
FAM150A	8	3.0870999999999996e-07	3.6295e-05	106449	3
FAM160B2	8	1.6409e-06	0.00012727063999999998	102258	13
FAM167A	8	2.7745e-07	4.428603e-05	110093	4
FAM203A	8	2.5515999999999996e-07	0.0	100688	0
FAM49B	8	1.1946e-06	0.0	107494	0
FAM83A	8	5.4792e-07	0.00760888916	105633	803
FAM83H	8	1.5986e-06	0.00296403669	102506	303
FAM84B	8	3.461e-07	4.734219e-05	104415	4
FAM86B1	8	4.0632e-07	0.0025374611	91836	233
FAM86B2	8	4.0632e-07	6.550073e-05	87031	5
FAM91A1	8	2.5854000000000003e-06	9.022046e-05	108486	9
FAM92A1	8	1.3265000000000001e-06	0.00014876675	108169	16
FBXL6	8	1.2142e-06	0.00028387457000000004	109826	31
FBXO16	8	1.0456e-06	0.00030879132	108931	33
FBXO25	8	1.0563e-06	2.6733090000000003e-05	108017	2
FBXO32	8	1.0905e-06	0.0	110109	0
FBXO43	8	1.0831e-06	8.06258e-05	109872	8
FDFT1	8	8.956700000000001e-07	9.825889999999999e-05	109525	10
