SYMBOL	chromosome	AF_nfe_orig	AN_nfe_orig	NFE_k_orig	Feature	mu_lof	AN_nfe	AF_nfe	AF_nfe_downsampled	controls_AF_nfe	duplicates_issue	flag1
A1BG	19	5.3506380000000005e-05	99944	5	ENST00000263100	9.1285e-07	99944.0689655172	5.350638e-05	2.39877182882364e-05	4.67782e-05	NA	
A1CF	10	0.00014349289	111614	16	ENST00000373995	2.1100e-06	111614.607329843	0.00014349289	0.000119556726872578	0.0001189803	NA	
A2M	12	0.00033177035	106651	35	ENST00000318602	4.0260e-06	106651.675073314	0.00033177035	0.000187653132914704	0.0004044489	NA	
A2ML1	12	0.0022686496	111873	253	ENST00000299698	3.9735e-06	111873.426415094	0.0022686496	0.00218918487639451	0.0022356158	NA	
A3GALT2	1	8.313344000000001e-05	96991	8	ENST00000442999	5.1422e-07	96991.7573964497	8.313344e-05	7.9004001031497e-05	5.39705e-05	NA	
A4GALT	22	8.85755e-06	107623	0	ENST00000401850	3.7170e-07	107623.955156951	8.85755e-06	0	0	NA	
A4GNT	3	0.0031820318	112515	358	ENST00000236709	4.4774e-07	112515.935897436	0.0031820318	0.00310980172091283	0.00317995	NA	
AAAS	12	0.00044009629999999995	112466	49	ENST00000209873	2.2446e-06	112466.689536878	0.0004400963	0.000397643700762279	0.000374115	NA	
AACS	12	0.00025564817	112795	28	ENST00000316519	1.6260e-06	112795.601449275	0.00025564817	0.000257367140295488	0.0001871392	NA	
AADAC	3	2.677384e-05	108498	2	ENST00000232892	5.2388e-07	108498.595533499	2.677384e-05	4.76331501755784e-05	4.68121e-05	NA	
AADACL2	3	0.00019393134	110221	21	ENST00000356517	8.4220e-07	110221.129251701	0.00019393134	0.000280745626814836	7.01941e-05	NA	
AADACL3	1	9.465570000000001e-06	111925	1	ENST00000359318	1.7009e-07	111925.995249406	9.46557e-06	0	0	NA	
AADACL4	1	0.0	112485	0	ENST00000376221	3.6803e-07	112485.814889336	0	0	0	NA	
AADAT	4	2.687107e-05	110598	2	ENST00000337664	9.8364e-07	110598.869739479	2.687107e-05	2.34268846928735e-05	4.681e-05	NA	
AAED1	9	0.00042999957000000003	103055	44	ENST00000375234	3.6557e-07	103055.004444444	0.00042999957	0.000721020763273712	0.0004304635	NA	
AAGAB	15	0.00013276253999999998	109871	14	ENST00000261880	1.0214e-06	109871.736486486	0.00013276254	0.000164608591460008	0.0001175564	NA	
AAK1	2	8.86211e-06	101344	0	ENST00000409085	2.2369e-06	101344.011940299	8.86211e-06	0	0	NA	
AAMDC	11	6.162098000000001e-05	109228	6	ENST00000526415	3.7921e-07	109228.882978723	6.162098e-05	4.67661226207735e-05	7.01591e-05	NA	
AAMP	2	1.764105e-05	110145	1	ENST00000248450	1.0407e-06	110145.540897098	1.764105e-05	0	2.33962e-05	NA	
AANAT	17	8.821610000000001e-06	103246	0	ENST00000250615	3.6482e-07	103246.575461455	8.82161e-06	0	2.33842e-05	NA	
AAR2	20	0.00010578231000000002	112588	11	ENST00000373932	5.6961e-07	112588.141643059	0.00010578231	0.000163689087857327	7.01612e-05	NA	
AARD	8	9.71491e-05	105900	10	ENST00000378279	1.9170e-07	105900.364864865	9.71491e-05	0	2.3428e-05	NA	
AARS	16	0.00017012721999999997	111125	18	ENST00000261772	3.3544e-06	111125.475899525	0.00017012722	0.000211252885177764	9.3799e-05	NA	
AARS2	6	0.00036254632000000007	111750	40	ENST00000244571	3.4494e-06	111750.354181307	0.00036254632	0.000446701905570236	0.0003519402	NA	
AARSD1	17	0.00017589558999999997	110757	19	ENST00000427569	1.0222e-06	110757.840116279	0.00017589559	0.000140311497037419	0.0001870787	NA	
AASDH	4	0.00014240575	109788	15	ENST00000205214	2.2688e-06	109788.630393996	0.00014240575	0.000189229677832594	0.0001874081	NA	
AASDHPPT	11	2.76369e-05	107672	2	ENST00000278618	6.2563e-07	107672.776280323	2.76369e-05	5.02714659159461e-05	2.38481e-05	NA	
AASS	7	0.0002044282	112367	22	ENST00000393376	1.9158e-06	112367.604630454	0.0002044282	0.000190619397623746	0.0003301583	NA	
AATF	17	0.00052061501	109789	57	ENST00000225402	1.6373e-06	109789.219917012	0.00052061501	0.000491503835553616	0.0005156734	NA	
AATK	17	9.094491e-05	91969	8	ENST00000326724	2.1087e-06	91969.5967302452	9.094491e-05	7.0318542999789e-05	3.0106e-05	NA	
ABAT	16	7.138857e-05	111147	7	ENST00000396600	1.3999e-06	111147.913606911	7.138857e-05	0.000119616567375546	7.14992e-05	NA	
ABCA1	9	0.0002377696	112021	26	ENST00000374736	6.3166e-06	112021.154843111	0.0002377696	0.000234051275587898	0.0001636816	NA	
ABCA10	17	0.05267756284	107563	5666	ENST00000269081	3.6601e-06	107563.31237525	0.05267756284	0.0543986318000838	0.0524116372	NA	
ABCA12	2	0.0004255907	112672	47	ENST00000272895	7.2492e-06	112672.079035499	0.0004255907	0.000353651048959288	0.0003531599	NA	
ABCA13	7	0.00408566945	106966	437	ENST00000435803	9.6869e-06	106966.228070175	0.00408566945	0.00373561461867884	0.0036513486	NA	
ABCA2	9	6.376508e-05	102417	6	ENST00000341511	5.4944e-06	102417.611081513	6.376508e-05	4.69472554059895e-05	4.91346e-05	NA	
ABCA3	16	0.00012385542	109881	13	ENST00000301732	3.5632e-06	109881.442745244	0.00012385542	0.000187227905136538	0.0001169362	NA	
ABCA4	1	0.00082804971	112006	92	ENST00000370225	6.2377e-06	112006.222622262	0.00082804971	0.000777037961416245	0.0006112838	NA	
