SYMBOL	chromosome	mu_lof	AF_nfe	AN_nfe	NFE_k
ABCB7	X	2.0954e-06	0.0168678	77345	1304
ABCD1	X	1.3381e-06	0.0	74164	0
AC115618.1	X	0.0	0.0	70699	0
ACE2	X	2.2506e-06	1.3571700000000001e-05	76702	1
ACOT9	X	1.4845e-06	0.0001872864	78626	14
ACRC	X	1.2528e-06	3.00829e-05	76219	2
ACSL4	X	2.0084e-06	3.71439e-05	80393	2
ACTRT1	X	3.7984e-07	1.22401e-05	80514	0
AF196779.12	X	9.393500000000001e-07	0.0	73313	0
AFF2	X	2.8076e-06	3.76163e-05	79544	2
AGTR2	X	4.959e-07	8.56261e-05	81381	6
AIFM1	X	2.221e-06	1.22293e-05	79989	0
AKAP14	X	6.482399999999999e-07	0.0	79709	0
AKAP17A	X	8.102600000000001e-07	2.648969e-05	102663	2
AKAP4	X	1.2907e-06	0.0	79774	0
ALAS2	X	1.1633e-06	0.0	76636	0
ALG13	X	2.7162e-06	2.5290599999999998e-05	72433	1
AMELX	X	5.2226e-07	0.0	79981	0
AMER1	X	2.6553e-06	3.74033e-05	80064	2
AMMECR1	X	6.962e-07	2.11323e-05	68969	1
AMOT	X	2.9130000000000003e-06	4.67362e-05	73361	3
AP1S2	X	5.372600000000001e-07	0.0	78539	0
APEX2	X	7.7367e-07	0.0	74213	0
APLN	X	1.0002e-07	0.0	57845	0
APOO	X	8.832500000000001e-07	0.0	75667	0
APOOL	X	5.7621e-07	0.0001011997	69372	7
AR	X	1.8981e-06	7.74217e-05	75161	5
ARAF	X	1.8974e-06	2.6964200000000002e-05	74828	2
ARHGAP36	X	9.8554e-07	0.0	79908	0
ARHGAP4	X	2.3803e-06	5.38186e-05	72864	3
ARHGAP6	X	1.9291999999999997e-06	2.51443e-05	74627	1
ARHGEF6	X	2.5860000000000003e-06	1.222e-05	80507	0
ARHGEF9	X	1.4029e-06	0.0	75766	0
ARL13A	X	7.0764e-07	4.93608e-05	75247	3
ARMCX1	X	6.564399999999999e-07	1.2863599999999998e-05	79519	1
ARMCX2	X	5.113399999999999e-07	0.0	79672	0
ARMCX3	X	3.5483000000000006e-07	0.0	75181	0
ARMCX5	X	7.0259e-07	2.44961e-05	80211	1
ARMCX6	X	4.0705999999999994e-07	0.0	79038	0
ARR3	X	1.4116e-06	3.69467e-05	78459	2
ARSD	X	1.1857e-06	3.7441500000000004e-05	76724	2
ARSE	X	1.2195e-06	2.45847e-05	80446	1
ARSF	X	1.6291999999999998e-06	0.0002119652	78719	16
ARSH	X	9.3712e-07	0.00013585719999999998	79131	10
ARX	X	4.8778e-07	0.0	63928	0
ASB11	X	7.352299999999999e-07	0.0004763161	77769	37
ASB12	X	4.335e-07	4.07927e-05	77013	3
ASB9	X	5.196e-07	1.2213900000000002e-05	77861	0
ASMT	X	7.614399999999999e-07	0.0022487972399999998	110629	248
ASMTL	X	1.3059e-06	0.00016969772	110296	18
ATG4A	X	1.2171e-06	0.0	78395	0
ATP11C	X	3.5387e-06	2.59866e-05	75384	1
ATP1B4	X	1.3133000000000002e-06	0.00011023930000000001	79387	8
ATP2B3	X	2.5107e-06	2.4544400000000002e-05	77611	1
ATP6AP1	X	9.746e-07	0.0	78930	0
ATP6AP2	X	7.695e-07	1.22926e-05	80954	0
ATP7A	X	3.2433999999999997e-06	1.22986e-05	80913	0
ATRX	X	7.2301e-06	7.376770000000001e-05	79574	5
ATXN3L	X	0.0	0.0	79629	0
AVPR2	X	4.2213000000000004e-07	0.0	71650	0
AWAT1	X	7.7139e-07	0.0	78837	0
AWAT2	X	8.0846e-07	0.0	74447	0
BCAP31	X	6.106700000000001e-07	0.0	76449	0
BCOR	X	3.5244e-06	1.24754e-05	78705	0
BCORL1	X	3.5048000000000003e-06	0.0	78336	0
BEND2	X	1.5301e-06	3.66972e-05	78891	2
BEX1	X	1.5481e-07	0.0	79958	0
BEX2	X	3.9325e-07	0.0	80473	0
BEX4	X	4.2714e-07	0.0	74011	0
BEX5	X	1.0077999999999999e-07	2.4429899999999998e-05	76021	1
BGN	X	7.0509e-07	2.50179e-05	78223	1
BHLHB9	X	5.6635e-07	1.24443e-05	79419	0
BMP15	X	8.831399999999999e-07	0.0001123016	76470	8
BMX	X	1.8263999999999998e-06	2.6708699999999997e-05	77693	2
BRCC3	X	1.1643e-06	5.1589200000000004e-05	68080	3
BRS3	X	7.5521e-07	0.0	77371	0
BRWD3	X	5.8713e-06	2.75102e-05	77795	2
BTK	X	2.1136e-06	0.0	80472	0
C1GALT1C1	X	4.5003999999999997e-07	0.0	79250	0
CA5B	X	8.1197e-07	9.995780000000001e-05	76579	7
CACNA1F	X	5.7391e-06	0.0001297751	73407	9
CAPN6	X	1.7559e-06	2.46869e-05	79173	1
CASK	X	3.1508e-06	0.0	77801	0
CCDC120	X	1.0155e-06	4.43982e-05	68777	3
CCDC160	X	2.9801e-07	4.82553e-05	66021	3
CCDC22	X	1.8183e-06	0.0	72731	0
CCNB3	X	2.3035e-06	5.00954e-05	79598	3
CD40LG	X	6.1242e-07	2.4677600000000002e-05	81278	2
CD99	X	6.212e-07	6.172824e-05	105758	6
CD99L2	X	1.3025e-06	3.68244e-05	76261	2
CDK16	X	2.1733e-06	0.0	75718	0
CDKL5	X	2.6112e-06	8.55004e-05	80501	6
CDR1	X	0.0	0.0	80404	0
CDX4	X	4.3306000000000004e-07	8.85442e-05	77092	6
CENPI	X	1.7722e-06	7.36142e-05	78147	5
CETN2	X	5.1112e-07	0.0	73220	0
CFP	X	1.7200999999999998e-06	4.9464799999999994e-05	69348	3
CHDC2	X	1.0263e-06	8.866149999999999e-05	73063	6
CHIC1	X	3.9813000000000003e-07	0.0	62372	0
CHM	X	1.8930000000000001e-06	0.0	76459	0
CHRDL1	X	1.6096e-06	1.2736099999999998e-05	79653	1
CHST7	X	5.1224e-07	0.0	72716	0
CITED1	X	4.2042e-07	7.82374e-05	72715	5
CLCN4	X	1.2561e-06	0.0	78353	0
CLCN5	X	2.3492e-06	0.000359031	77704	27
CLDN2	X	3.2663000000000006e-07	0.0	76250	0
CLIC2	X	4.4623000000000005e-07	2.4747e-05	80803	1
CMC4	X	1.3686e-07	0.0	73429	0
CNGA2	X	1.5804e-06	0.0001354621	79098	10
CNKSR2	X	3.4637e-06	1.3505799999999999e-05	72276	0
COL4A5	X	4.1484e-06	3.7713099999999996e-05	77999	2
COL4A6	X	4.521e-06	7.49163e-05	76597	5
COX7B	X	2.8665e-07	0.0	78024	0
CPXCR1	X	0.0	0.0	78496	0
CRLF2	X	5.6431e-07	0.0008921542300000001	110863	98
CSAG1	X	1.3431e-07	0.18598932	81184	15099
CSF2RA	X	1.4624000000000002e-06	0.00012347558999999998	111156	13
CSTF2	X	1.8969e-06	0.0	76370	0
CT45A1	X	1.1611e-08	0.0	70424	0
CT45A5	X	3.9586e-07	0.0007061505000000001	80158	56
CT47B1	X	4.0493e-07	0.00012545729999999998	78311	9
CT55	X	4.4438e-07	1.2285e-05	77113	0
CT83	X	5.2156e-08	0.0	79553	0
CTAG2	X	8.0565e-08	0.0	75832	0
CTPS2	X	1.6854e-06	1.23583e-05	78076	0
CUL4B	X	2.5427000000000002e-06	0.0	77393	0
CXCR3	X	4.86e-07	0.00179346	75476	135
CXorf21	X	3.8205999999999997e-07	0.0	78478	0
CXorf22	X	1.9909e-06	1.33097e-05	74909	0
CXorf23	X	2.0138e-06	2.4902e-05	76893	1
CXorf27	X	0.0	0.0	76847	0
CXorf30	X	8.099500000000001e-07	0.0	44732	0
CXorf36	X	7.9139e-07	8.20525e-05	74964	6
CXorf38	X	1.1594e-06	0.0001476829	72658	10
CXorf40A	X	2.1593000000000003e-07	0.0	71601	0
CXorf40B	X	1.2343e-07	0.0	79413	0
CXorf56	X	7.5983e-07	0.0	79976	0
CXorf57	X	2.1025e-06	0.0001261354	76429	9
CXorf58	X	1.1614e-06	0.0156668687	74987	1174
CXorf64	X	1.5587e-07	0.0	44820	0
CXorf65	X	5.5412e-07	0.0	77332	0
CXorf66	X	1.4337e-07	1.2246e-05	78376	0
CXorf67	X	0.0	0.0	73984	0
CYBB	X	1.9571000000000003e-06	0.0	79504	0
CYLC1	X	8.195200000000001e-07	1.2838900000000002e-05	76011	0
CYSLTR1	X	2.5213e-07	7.35744e-05	79916	5
DACH2	X	1.0013e-06	3.0096999999999997e-05	71830	2
